AwardId,AwardedOn,AwardName,AwardAbbr,AwardSystem,ClaspLevel,ClaspText,GazetteName,GazetteGivenName,GazetteSurname,GazetteSuburb,GazetteState,GazettePostcode,AnnouncementEvent,Division,AdditionalInfo,Citation,MediaNote
2012786,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Fiona Louise GANTER,Fiona Louise,GANTER,,ACT,,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service in legislative instrument drafting and for developing the Office of Parliamentary Counsel's instrument drafting capability.,"Ms Fiona Louise Ganter, Senior Assistant Parliamentary Counsel, has drafted or been involved in the drafting of over 500 legislative instruments for the Australian Government, with particular expertise in relation to significant legislative instruments in the areas of aged care, biosecurity, autonomous sanctions, civil aviation and health. Following the transfer of functions from the Attorney-General's Department to Office of Parliamentary Counsel (OPC), Ms Ganter shared her extensive understanding and knowledge of drafting subordinate instruments with OPC drafters. Ms Ganter also played an outstanding role in building the capability of instrument drafting across all levels of OPC.  Ms Ganter provided service excellence for the Department of Health by drafting over 65 instruments in response to the COVID-19 pandemic. She drafted critically important instruments relating to vaccination requirements applicable in aged care facilities and the COVID-19 support supplement. Ms Ganter also drafted six key legislative instruments for the Department of Foreign Affairs and Trade, providing both the enabling legislation for sanctions, and the sanctions themselves, in relation to the Ukraine crisis. Ms Ganter's invaluable drafting services and advice has made a substantial contribution to OPC, to supporting the Government's response to the COVID-19 pandemic and to the Ukraine crisis.  "
2012787,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mr Bryan Geoffrey HODGE,Bryan Geoffrey,HODGE,Armstrong Creek,VIC,3217,Australia Day 2023 Honours List,,Commonwealth Public Service,"For outstanding public service in the delivery of innovative meteorological science, technology and engineering solutions for Australia and its Pacific neighbours.","Mr Bryan Hodge, in his role as General Manager, Observing Systems and Operations, has provided outstanding leadership, integral to managing the teams that underpin the Bureau of Meteorology's (the Bureau) capacity to deliver high quality forecasts and weather observations for the Australian community. Mr Hodge conceived, designed and implemented world leading and innovative meteorological science, technology and engineering solutions that have profoundly increased the safety, security and prosperity of Australia and its Pacific neighbours. Mr Hodge's world leading technology and engineering knowledge over the past three decades, coupled with his outstanding leadership, has been instrumental in the Bureau's vital observing systems network digital transformation program. The four year transformation program has created a dynamic and responsive workforce that has achieved unprecedented levels of performance and capability, service levels, operating efficiencies and customer satisfaction.  Mr Hodge has also been a strong and progressive force in leading the Bureau to introduce renewable energy into the supply mix for various radar sites with a standardised renewable hybrid power supply that can be effectively and reliably deployed into both new and existing meteorological monitoring sites. Mr Hodge's achievements and leadership have had a significantly positive impact on the communities and industries that the Bureau serves, as well as on the operational performance of the Bureau itself.  "
2012788,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Andrea Marie FAULKNER,Andrea Marie,FAULKNER,,ACT,2604,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service in leading Australia's Embassy in Myanmar and commitment to advancing Australia's interests.,"Ms Andrea Faulkner, as Ambassador to Myanmar, demonstrated leadership and compassion for others during her posting from February 2019 to April 2022.Her duty of care for Embassy staff increased during the COVID-19 pandemic and the military coup in February 2021. She showed great resolve to ensure Embassy staff were supported and made their welfare a top priority. Her commitment to promoting Australia's interests throughout her posting included advocacy on several highly sensitive and complex diplomatic, consular and humanitarian issues. She oversaw the delivery of humanitarian and development programs under extremely difficult circumstances following the coup. Ms Faulkner, with the Australian Embassy team, pivoted the entire Australian development program towards urgent humanitarian and development needs, working with partners on the ground to deliver life-saving assistance including food, water, shelter, and gender-based violence services.  "
2012789,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Sonje Anoushka FRANKLIN,Sonje Anoushka,FRANKLIN,Fadden,ACT,2904,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service supporting the safety and wellbeing of vulnerable Australians overseas.,"Ms Sonje Franklin, in her role as Director, Consular and Crisis Management Division, leads a team of officers who manage more than 600 consular cases each day. Her work directly contributed to the safety and wellbeing of Australians stranded overseas during the evacuation from Afghanistan, Australians facing persecution during civil unrest in Ethiopia and Australians caught up in the Russia/Ukraine conflict. Ms Franklin's work has impacted Australians from all walks of life, but none more so than women and children. The majority (70 per cent) of those brought to safety during the evacuation from Afghanistan were women and children. Ms Franklin's efforts to assist hundreds of Australians in Afghanistan was a model of both staying power and innovation, including sustained contact with Australians in distress and leading successive shifts of consular crisis staff to check on Australians welfare and provide advice on evacuations.Ms Franklin also worked tirelessly to provide support and advice to Australian parents engaging in surrogacy services in Ukraine. Ms Franklin's liaison with officers in the field and government agencies has been vital in ensuring children born in Ukraine are provided with identification documents so that they are able to depart Ukraine in safety. She has gone above and beyond to find solutions to protect and support vulnerable Australians. "
2012790,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mrs Jane URQUHART,Jane,URQUHART,Conder,ACT,2906,Australia Day 2023 Honours List,,Commonwealth Public Service,"For outstanding public service through sustained contribution to industry and science policy and programs to improve the economic wellbeing, global reputation and national interests of Australia.","Over ten years, across successive roles, Mrs Jane Urquhart has been instrumental in repositioning the Department of Industry, Science, Energy and Resources as an engaging, trusted and highly-reliable Commonwealth agency.  Mrs Urquhart played a pivotal role during the design and implementation of the 2015 National Innovation Science Agenda (NISA). Mrs Urquhart's sustained leadership of the Square Kilometre Array (SKA) project and as Australia's voting representative on the International SKA Organisation Board, advanced Australia's national interests, enhanced our global reputation, and helped Australia secure this major global science asset.  Most recently, Mrs Urquhart's commitment and contribution has been vital to the decision making process to support business in navigating and reducing the impacts of COVID-19. Mrs Urquhart's work has contributed to critical initiatives relating to sustaining business-critical imports and time-sensitive exports to minimise disruptions to supply chains and business operations.  Mrs Urquhart's work supporting the establishment of an onshore mRNA manufacturing capability exemplifies her integrity, professionalism and leadership. She was instrumental in driving the complex cross-portfolio and cross-jurisdictional project. "
2012791,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Sarah Aileen JOHNSON,Sarah Aileen,JOHNSON,Redfern,NSW,2016,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service to Australians with disability through leadership and commitment to the National Disability Insurance Scheme.,"Ms Sarah Johnson, in her role as Scheme Actuary, led the development of in-house actuarial, data and business intelligence functions, and spearheaded the Government's commitment to demonstrate full data transparency. Ms Johnson was instrumental in the roll out of the Scheme to more than 470,000 Australians with disability.Ms Johnson played a pivotal leadership role in the design and implementation of the National Disability Insurance Scheme (NDIS) policy and procedure work. She worked tirelessly to improve the integrity of the data and set new benchmarks for public reporting of the balance between outcomes for Australian citizens and financial sustainability of social investment.Ms Johnson led the development of the world-first participant outcomes framework in collaboration with people with disability and other stakeholders. The outcomes framework measures the medium and long-term benefits of the NDIS for participants and their families to track progress over time and provide a better understanding of the supports that lead to good outcomes.Ms Johnson was also instrumental in supporting participants through the difficulties of the COVID-19 pandemic, by leading negotiations with supermarkets to ensure participants had access to home delivery and assisting in the introduction of flexible funding so participants could purchase Telehealth technology. "
2012792,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Andrea Louise WALLACE-GREEN,Andrea Louise,WALLACE-GREEN,Gilmore,ACT,2905,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service through sustained and significant contribution to social security policy and delivering outcomes for Australian individuals and families.,"Ms Andrea Wallace-Green has worked in a range of social security roles over the past 20 years and has an unparalleled understanding of the social security and family payments systems and the interactions between them.  She has led many multi-disciplinary teams and taskforces and she has been instrumental in working collaboratively and developing innovative policy solutions. She played a key role in supporting Australia's social security representatives at the Organisation for Economic Co-operation and Development (OECD), delivering the Secure and Sustainable Pension Reforms (2009); developing and delivering the Clean Energy Advance and Clean Energy Supplement (2012); working age payment reforms (2017); and around 2.6 billion dollars of support through the third and fourth Economic Support Payments (2020 and 2021).  Most recently, she led the development of legislative amendments to deliver one-off Cost of Living Payments, involving consultation and collaboration with Services Australia to ensure the delivery of the outcomes within tight timeframes.  Ms Wallace-Green is an exceptional leader who has made a significant contribution influencing and guiding social security policy to improve the wellbeing of vulnerable Australian individuals and families. "
2012793,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Dr Amanda Jayne CRAIG,Amanda Jayne,CRAIG,,WA,,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service in leading significant and complex safety and performance reviews of medical devices.,"Dr Amanda Craig, in her role as Director, Medical Devices Surveillance Branch, contributed significantly to delivering the Government's regulatory changes to respond to patient safety concerns, in particular, for adverse events experienced by women from medical devices.Dr Craig has played a vital and critical role in implementing post market reviews of breast implants, transvaginal mesh devices and a range of other devices. She has worked tirelessly examining the evidence and instigating timely regulatory action to remove products.Dr Craig has most recently also supported the national response to the COVID-19 pandemic through reviews of face masks and rapid antigen tests. Dr Craig played a significant national leadership role representing the Therapeutic Goods Administration (TGA) on the Australian Breast Device Registry (ABDR) and the Australasian Pelvic Floor Procedure Registry (APFPR), providing guidance and active input to registry activities.  Dr Craig's work, through the TGA's management of breast device regulation, has led to a significant reduction in the use of certain devices by Australian surgeons, improving the health of thousands of patients. "
2012794,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Mr Andrew Douglas JAGGERS,Andrew Douglas,JAGGERS,Hawker,ACT,2614,Australia Day 2023 Honours List,,Commonwealth Public Service,"For outstanding public service in supporting the Government's response to the COVID-19 pandemic, ensuring the safety and wellbeing of Australians.","Mr Andrew Jaggers, in his role as Deputy Secretary, Department of Finance, played a critical role in the early stages of the COVID-19 pandemic, partnering and providing commercial expertise into commercial transactions, including the voluntary administration of Virgin Australia and the onshore manufacturing of pandemic influenza vaccines with Seqirus (CSL). He also worked closely with Australia Post to ensure that the regulatory framework enabled Australia Post to continue to operate throughout the pandemic. Mr Jaggers was also responsible for the delivery of purpose-built quarantine facilities in Melbourne, Brisbane and Perth (Centres for National Resilience) as part of the Government's response to the COVID-19 pandemic. Through his leadership and problem solving of both strategic and operational issues, the design, planning and construction of the first centre in Melbourne was completed within six months of the appointment of a Managing Contractor. This was a remarkable achievement which took place in a challenging COVID-19 environment. Mr Jaggers' passionate dedication to public service and the public good has left a lasting impact on the Department, the Australian Public Service and the Australian community."
2012795,01/26/2023 00:00:00 +00:00,Public Service Medal,PSM,ME,0,,Ms Chloe Morgan BURNS,Chloe Morgan,BURNS,,ACT,2602,Australia Day 2023 Honours List,,Commonwealth Public Service,For outstanding public service in the development of statistical modelling and public health measures in response to the COVID-19 pandemic.,"Ms Chloe Burns, in her role as Assistant Director, Health Economics and Modelling Branch, drove the initial development of statistical modelling to allow a better understanding of how COVID-19 might affect Australia, and to inform public health response measures. Ms Burns anticipated and initiated this work in her own time, in anticipation of the need for such a product. Ms Burns' unique skill set, combining econometrics and epidemiology, allowed the model she produced to quantify costs, benefits and risks of various policy options. As the pandemic progressed, Ms Burns designed and then led a multidisciplinary team to develop modelling for the vaccine rollout, including a methodology and rationale for prioritising particular groups. Ms Burns used this modelling to provide detailed quantitative and qualitative advice to senior officials, Ministers, the Australian Technical Advisory Group on Immunisation (ATAGI) and the Commonwealth Chief Medical Officer.Ms Burns' robust analytical modelling, in particular for the most vulnerable population groups, contributed to Australia's low rates of infection and death during the Government's initial response to the pandemic. "
